driverId,name,ssn,location,certified,wage-plan

10,Vanessa Stone,259-29-3704,"02922 Mejia Stream
North Cameronbury, AL 55753",N,miles

11,Michael Rodriguez,645-28-6614,"734 Kim Shore Suite 593
New Jocelyn, AL 00819",N,miles

12,Jennifer Smith,397-69-7334,"56174 Matthew Mountain
Brianaburgh, NM 17729",Y,miles

13,Joy Blair,211-19-0246,"6916 Johnson Ramp Apt. 949
Catherineville, NV 46011",N,hours

14,James Brock,166-50-5699,"03405 Kathleen Loop Apt. 835
Hunterchester, OR 70877",N,miles

15,Alan Smith,616-76-5306,"8975 John Fords
Cherylmouth, VI 52290",Y,hours

16,Laura Johnson,371-40-4149,"1420 Patrick Estate
Feliciamouth, ND 05104",N,hours

17,Paige Zuniga,680-74-6311,"409 Mccormick Spring Apt. 192
Beckyton, VI 37554",N,hours

18,Tiffany Harris,743-93-9753,"26532 Frank Expressway Suite 262
North Cameronborough, MI 40020",Y,miles

19,Aaron Cooper,549-54-8554,"1008 Kimberly Brooks
New Brittanyfort, AL 39057",Y,miles

20,Karen Keller,160-91-2571,"9687 Anthony Viaduct Suite 688
Adamview, MS 77955",N,miles

21,Nancy Weber,541-45-3259,"8057 Fischer View
Port Angelatown, MT 80924",N,hours

22,Annette Dickerson,306-89-1894,"USNS Mcknight
FPO AE 21425",N,hours

23,John Small,054-25-3398,"3906 Jennifer Well Apt. 524
South Matthewberg, IA 98177",Y,hours

24,Carolyn Anderson,450-68-5515,"71303 Evelyn Circle Apt. 460
Jasmineburgh, WA 69015",Y,miles

25,Stephanie Hess,806-35-7484,"365 Moore Vista Suite 757
North Donna, AS 86333",N,hours

26,Christopher James MD,827-63-1185,"751 Evan Prairie
East Nicholas, RI 21947",Y,miles

27,Julie Obrien,884-41-0739,"6379 Anthony Corners
South Thomas, MH 89906",N,miles

28,Diana Miller,097-47-4640,"5043 Jackson Canyon Suite 796
Johnburgh, IA 86056",Y,miles

29,Amanda Kennedy,469-21-6651,"60867 Mitchell Harbor
South Amy, FL 25290",N,miles

30,Cesar Acevedo,682-66-9832,"6789 Greene Dam
Phillipland, GA 12713",N,miles

31,Mariah Mays,816-56-0105,"2342 Dunn Haven Apt. 324
North Virginia, OR 74612",Y,miles

32,Jennifer Mcgrath,068-08-2782,"26162 Morton Road
Jonborough, WI 54922",Y,miles

33,Dr. David Liu,696-05-2894,"5471 Bonnie Shoals Apt. 091
New Lori, KS 28211",Y,hours

34,Jessica Davis,673-19-6357,"621 Gary Flats
Sanchezmouth, AR 62918",Y,hours

35,Beth Ross,008-24-8945,"049 Nathan Mountains
Moorestad, NM 48851",N,miles

36,Roy Flores,342-59-3591,"45097 Parks Fords Apt. 288
New Jerry, TX 15557",N,miles

37,Sara Mckee,338-03-7382,"59680 Kelly Radial Apt. 701
East Timothyside, TN 74855",N,miles

38,Lauren Huynh MD,048-13-7271,"681 Wright Prairie
Zacharytown, MI 54138",Y,miles

39,Jennifer Soto,192-67-1334,"8515 Ball Way
East Kurt, CT 98286",Y,miles

40,Cody Miller,667-15-2124,"156 Amy Villages Suite 001
Lake Troy, ME 68504",N,miles

41,Peter Wallace,602-03-6864,"95788 Morgan Bridge Suite 859
Tuckermouth, NJ 05083",N,hours

42,Katherine Moreno,273-16-0590,"718 Miller Ridge Suite 121
Meyersview, TX 59208",N,miles

43,Dustin Warner,715-88-4756,"788 Guerra Mountain
South Angelaland, SC 08463",Y,miles

44,Scott Sandoval,635-44-3748,"9019 Paul Harbors Suite 125
Johnsonport, DC 94091",N,miles

45,Jeffrey Lucas DVM,615-33-2628,"268 Martinez Fort
Martinezland, IN 43757",Y,hours

46,Jose Hayes,836-98-8342,"6220 Farmer Vista
West Andrea, PW 60275",N,miles

47,Timothy Davis,227-36-8857,"38768 Salazar Track
Joannechester, RI 08310",Y,hours

48,Caroline Hernandez,302-41-5757,"83928 Shannon Corner
East Ernestshire, NY 19066",Y,hours

49,Angela Johnson,520-98-3718,"29794 Gamble Villages Apt. 308
West Monicaberg, WI 55913",N,miles

50,Brian Chavez,324-27-5786,"9483 Turner Mission Suite 880
Amandaborough, WA 50560",Y,miles

51,Julie Hines,317-78-6425,"6280 Clements Skyway
North Bryan, DC 51678",Y,miles

52,Julie Wells,175-80-0685,"6215 Jackson Summit
West Nicole, NH 28056",N,miles

53,Amanda Baker,586-18-5698,"2966 Aaron Coves Apt. 470
Lake Amanda, ID 32023",N,miles

54,Sandra Johnson,301-49-5518,"821 Johnson Vista Suite 714
Davisburgh, MI 56069",Y,hours

55,Patrick Anderson,501-06-0945,"25350 Berry Junctions Apt. 924
Stewartshire, ME 91043",Y,miles

56,Elizabeth Stewart,542-55-5720,"104 Alvarez Way
Andrewville, MA 07843",Y,hours

57,Rodney Jennings,184-95-7052,"01072 Lance Springs
New Samanthaview, WI 20723",Y,miles

58,Bradley Frank,149-20-9357,"28321 Clarke Trace Apt. 753
West Willie, GA 77740",N,hours

59,Lorraine Smith,539-30-9804,"4049 Mcguire Falls Suite 212
Everettside, MH 91876",N,miles

60,Harry Martinez,491-89-8631,"03928 David Land
Mcgeeport, TN 08239",Y,miles

61,Jennifer Murphy,337-14-3044,"0288 Brandon Villages Suite 183
New Lauraburgh, ME 60725",Y,hours

62,Zachary Sanders,176-05-8893,"326 Walker Drives
East Stanley, WA 80322",N,miles

63,Catherine Johnson,431-62-4916,"5186 Danielle Villages
Leahstad, TX 35586",Y,hours

64,Nicholas Alexander,659-38-5201,"375 Dixon Pike
Johnsonport, NE 90712",N,hours

65,Stephanie Dixon,872-36-5587,"655 Timothy Key Suite 051
South Jasonburgh, MN 93450",Y,miles

66,Douglas Reyes,572-47-0787,"3600 Richardson Corners Suite 953
Stricklandfort, WA 80856",N,hours

67,Laura Frye,418-67-9650,"4347 Stephens Green Apt. 487
Phillipston, NM 90975",N,hours

68,Antonio Allen,547-64-4108,"PSC 4065, Box 9298
APO AA 55806",Y,hours

69,Mr. Stephen Ward,529-63-9221,"0260 Silva Overpass
Jenniferbury, GU 68128",N,hours

70,Terry Mcconnell,736-60-8953,"4314 Courtney Forge
Williamsfort, AR 55600",Y,hours

71,Michael Odom,248-57-2302,"140 John Valley Suite 719
Angelaside, GA 10530",Y,hours

72,Julie Manning,064-20-5190,"05025 Jamie Street
Port Gina, RI 49131",Y,hours

73,Daniel Hughes,426-44-1892,"PSC 8464, Box 9940
APO AP 35737",N,miles

74,Lori Ford,576-16-8870,"970 Deborah Land
Christophershire, RI 56370",Y,hours

75,Kristen Calderon,635-09-1564,"776 Meyer Burg Suite 747
Cynthiaport, WA 22639",Y,miles

76,Renee Garrett,075-88-8174,"496 Morris Hollow Suite 989
Martinezmouth, MN 95108",N,hours

77,Terry Stevens,729-08-9446,"509 Brown Mountain
Scottberg, NH 99673",N,hours

78,Marissa Mendoza,122-29-7887,"1529 Annette Spurs Suite 809
Jeffreyside, AS 45750",Y,miles

79,Shawna Cherry,428-75-9323,"0445 Travis Ford Suite 967
Jacksonshire, SC 05141",N,miles

80,Sandra Clark,798-19-5430,"89807 Butler Walk
West Kristin, CT 53705",N,hours

81,Tiffany Mcconnell,149-83-2604,"161 Lewis Fall
Lake Cynthia, GU 05083",Y,miles

82,Theresa Simon,684-06-2686,"PSC 1111, Box 6794
APO AE 28103",N,miles

83,Dr. Philip Knapp,136-90-3750,"568 Alexander Branch Apt. 532
East Kristystad, MD 83718",Y,hours

84,Douglas Phillips,784-80-1674,"7112 Lynn Lodge
Michelleshire, VT 05929",N,miles

85,William Glenn,650-44-6439,"160 Shaw Estate Suite 141
Richardfurt, MO 32948",N,hours

86,Ashley Curtis,160-94-6956,"Unit 8004 Box 2481
DPO AE 90115",Y,hours

87,Deborah Long,425-14-1770,"9683 Stephanie Manor
East Amy, AS 51959",Y,miles

88,Melissa Mccarthy,258-85-7964,"PSC 7873, Box 2434
APO AE 10735",Y,hours

89,Christy Robles,760-62-5782,"0853 David Trail Suite 836
Owenburgh, WI 93834",Y,hours

90,Leslie Sanders,108-94-6138,"PSC 1133, Box 6571
APO AP 73880",Y,miles

91,Alice Baker,754-46-0763,"32074 Carter Flat Apt. 671
Port Kelly, GU 55174",Y,hours

92,William Dunlap,595-44-3341,"86743 Zachary Vista Apt. 612
Stacyfurt, MT 57603",N,hours

93,Amanda Henson,116-96-7856,"77390 Henderson Prairie Suite 476
Port Susan, LA 50791",N,hours

94,Jessica Davis,663-13-6513,"17893 Catherine Burg
East Williamland, PR 93234",N,miles

95,Bobby Olson,054-37-0532,"14993 Betty Station
Joshuamouth, PW 00517",Y,miles

96,Stephanie Walker,853-91-9229,"846 Melissa Radial
Mcdowellside, ME 83342",N,hours

97,Rhonda Walter,219-29-5913,"8778 Jones Avenue
Heatherport, CT 63147",Y,miles

98,Cathy Alvarez,296-07-2986,"70616 Spencer Roads
Angelamouth, KS 34354",N,miles

99,Dr. Rebecca Chaney,716-59-4398,"909 Teresa Lodge Apt. 442
North Rhonda, MI 26250",N,miles

100,Melissa Long,245-60-3859,"02579 Stephanie Green
Blakeside, IN 30097",N,hours

101,Amy Cooley,061-08-9475,"12664 Ashley Way
Port Mark, VA 77486",N,miles

102,Jessica Hernandez,230-04-5175,"086 Carlos Divide Suite 857
Brittanyshire, FL 46293",Y,hours

103,Erin Roberts,724-52-4345,"17874 Barnett Drive Suite 017
North Anthonytown, ID 51954",N,hours

104,Frank Park,790-45-0442,"786 Clark Trail Suite 553
West Jenniferport, PR 55762",N,hours

105,Christie Price,257-66-0013,"PSC 2452, Box 2253
APO AA 29065",N,hours

106,Claudia Hill,497-46-8483,"42698 Rebecca Summit
Crawfordburgh, MI 89859",N,miles

107,James Reed,365-66-1604,"08242 Kaufman Heights Suite 487
Andreaside, MP 94569",N,hours

108,Michael Gibson,631-77-8995,"95716 Martin Pines
Robertfurt, DE 12305",Y,miles

109,Tom Matthews,698-98-2539,"10543 Peterson Corners Apt. 884
New Tracymouth, GU 61812",N,miles

